SaleID,Salesman,PolicyType,CustomerAge,Premium,Status,Month
56,Charlie,Health Insurance,62,,Pending,January
57,Frank,Auto Insurance,45,1680,Pending,January
58,Eve,Auto Insurance,71,1506,,January
59,Alice,,24,2000,Declined,January
60,Alice,Home Insurance,25,,Pending,January
61,Alice,Life Insurance,55,2000,Approved,January
62,Frank,Life Insurance,62,2000,Declined,January
63,Diana,Home Insurance,73,,Pending,January
64,Alice,,58,,Approved,January
65,Charlie,Health Insurance,62,,Pending,January
66,Alice,Home Insurance,52,,,January
67,Eve,,64,2000,Pending,January
68,Alice,Home Insurance,21,4110,Declined,January
69,Diana,,21,2000,Pending,January
70,Eve,Auto Insurance,51,,Approved,January
71,Eve,Life Insurance,47,,Approved,January
72,Bob,Life Insurance,48,1082,Approved,January
73,Charlie,Home Insurance,46,995,Declined,January
74,Diana,Home Insurance,53,,Approved,January
75,Charlie,Home Insurance,44,2000,,January
76,Diana,Life Insurance,53,,,January
77,Eve,Home Insurance,74,2000,Declined,January
78,Diana,,26,,Declined,January
79,Eve,Health Insurance,19,949,Pending,January
80,Bob,Health Insurance,20,1371,Declined,January
81,Eve,Health Insurance,50,4606,Pending,January
82,Bob,,21,,Approved,January
83,Alice,Life Insurance,40,1416,Approved,January
84,Diana,Home Insurance,20,815,,January
85,Frank,Life Insurance,55,2000,Declined,January
86,Eve,,62,2560,Pending,January
87,Eve,Health Insurance,73,1906,Pending,January
88,Diana,Auto Insurance,46,2000,,January
89,Diana,Life Insurance,37,1261,,January
90,Charlie,Auto Insurance,30,2000,Declined,January
91,Alice,,36,2000,,January
92,Diana,Auto Insurance,29,1335,Approved,January
93,Bob,,25,2000,Declined,January
94,Bob,Life Insurance,74,1912,Approved,January
95,Frank,Health Insurance,38,,Approved,January
96,Diana,Home Insurance,33,,Pending,January
97,Alice,,69,,Approved,January
98,Bob,Auto Insurance,69,2073,Declined,January
99,Frank,Home Insurance,33,605,Declined,January
100,Bob,,55,1880,Declined,January
101,Bob,Health Insurance,69,,,January
102,Alice,Life Insurance,47,,Declined,January
103,Diana,Life Insurance,51,,Declined,January
104,Diana,Home Insurance,67,3480,,January
105,Bob,Auto Insurance,68,1511,Approved,January
106,Diana,Life Insurance,50,,Declined,January
107,Alice,,61,4619,Declined,January
108,Eve,Auto Insurance,59,2000,Pending,January
109,Alice,,44,2000,Approved,January
110,Bob,,30,1974,Declined,January
111,Bob,Life Insurance,20,2000,Approved,January
112,Eve,Auto Insurance,53,,Pending,January
113,Eve,,38,,Pending,January
114,Alice,Health Insurance,45,4130,Declined,January
115,Eve,Health Insurance,61,540,Pending,January
116,Frank,Health Insurance,45,4145,Pending,January
117,Eve,Auto Insurance,37,2000,Approved,January
118,Eve,Home Insurance,56,2000,Declined,January
119,Diana,Home Insurance,31,3325,Approved,January
120,Alice,Life Insurance,47,1755,Declined,January
121,Alice,Home Insurance,46,,,January
122,Charlie,Health Insurance,32,916,Pending,January
123,Charlie,Auto Insurance,37,2000,Pending,January
124,Diana,Health Insurance,59,2000,Approved,January
125,Eve,Health Insurance,22,2000,Approved,January
126,Alice,Auto Insurance,37,2958,,January
127,Bob,Life Insurance,43,,,January
128,Diana,Life Insurance,69,3795,Approved,January
129,Eve,Life Insurance,55,3024,,January
130,Frank,,28,2000,Approved,January
131,Charlie,,61,1251,Pending,January
132,Frank,Auto Insurance,54,,Declined,January
133,Diana,Home Insurance,49,,Declined,January
134,Alice,Auto Insurance,56,2000,Pending,January
135,Diana,Auto Insurance,49,1216,Declined,January
136,Frank,Life Insurance,20,1776,,January
137,Bob,Health Insurance,25,3808,Approved,January
138,Alice,Auto Insurance,34,2000,,January
139,Diana,Auto Insurance,19,1982,Approved,January
140,Alice,,55,2000,Pending,January
141,Alice,,23,2000,Declined,January
142,Charlie,,67,631,Approved,January
143,Diana,,24,1678,Pending,January
144,Eve,Home Insurance,37,1412,,January
145,Alice,,49,2000,Approved,January
146,Charlie,Health Insurance,60,2855,,January
147,Diana,Auto Insurance,33,2000,Pending,January
148,Bob,Home Insurance,55,1193,Approved,January
149,Eve,Auto Insurance,68,1265,Declined,January
150,Alice,Health Insurance,24,4501,Declined,January
151,Charlie,Life Insurance,74,1505,Declined,January
152,Bob,Health Insurance,68,1464,Pending,January
153,Bob,Life Insurance,38,,,January
154,Bob,Auto Insurance,54,,Approved,January
155,Alice,Life Insurance,28,2000,Pending,January
156,Frank,Health Insurance,21,,Pending,January
157,Bob,Auto Insurance,33,4871,,January
158,Diana,Life Insurance,55,,Declined,January
159,Diana,Home Insurance,49,1200,Declined,January
160,Bob,,50,,Declined,January
161,Bob,Auto Insurance,60,1856,Approved,January
162,Bob,,29,2253,Declined,January
163,Diana,,56,2000,Approved,January
164,Alice,Auto Insurance,74,2000,Declined,January
165,Eve,Auto Insurance,66,,Approved,January
166,Charlie,Health Insurance,36,1408,Approved,January
167,Charlie,Home Insurance,30,,Declined,January
168,Eve,Life Insurance,28,,Pending,January
169,Eve,,73,4652,Pending,January
170,Eve,Auto Insurance,47,,Declined,January
171,Frank,Health Insurance,33,,Pending,January
172,Charlie,,48,1969,Declined,January
173,Diana,Health Insurance,44,4055,Approved,January
174,Bob,Auto Insurance,32,2000,Pending,January
175,Eve,,52,,Pending,January
176,Diana,,43,1828,Approved,January
177,Bob,,56,,Approved,January
178,Eve,Life Insurance,27,1592,Pending,January
179,Alice,Home Insurance,50,1571,Declined,January
180,Diana,Home Insurance,34,587,Pending,January
181,Frank,Health Insurance,57,1584,Pending,January
182,Charlie,,73,4365,Declined,January
183,Eve,,35,3348,Pending,January
184,Eve,Health Insurance,36,2000,Pending,January
185,Alice,Home Insurance,29,,Pending,January
186,Charlie,Health Insurance,65,,Pending,January
187,Alice,Home Insurance,47,,Declined,January
188,Diana,Life Insurance,74,1788,,January
189,Alice,Life Insurance,75,,Approved,January
190,Alice,Health Insurance,47,,Approved,January
191,Eve,Health Insurance,21,2000,Declined,January
192,Eve,Home Insurance,71,2000,Approved,January
193,Bob,,63,3505,Pending,January
194,Diana,Health Insurance,24,3545,,January
195,Alice,,53,1083,Approved,January
196,Eve,Auto Insurance,53,1523,Approved,January
197,Frank,Life Insurance,30,2000,Pending,January
198,Bob,Life Insurance,40,4575,Declined,January
199,Frank,Auto Insurance,56,2190,Declined,January
200,Bob,Home Insurance,36,,Declined,January
201,Eve,Auto Insurance,24,3927,Approved,January
202,Charlie,,28,2000,Approved,January
203,Bob,Home Insurance,26,,Pending,January
204,Diana,,45,2000,Approved,January
205,Alice,Health Insurance,43,2040,,January
206,Eve,Life Insurance,27,1670,Approved,January
207,Alice,Home Insurance,34,2000,Pending,January
208,Bob,,32,,Declined,January
209,Diana,Home Insurance,49,2000,Pending,January
210,Alice,Life Insurance,44,2000,Declined,January
211,Frank,Auto Insurance,26,2000,Pending,January
212,Alice,Home Insurance,32,2000,Approved,January
213,Diana,Home Insurance,70,2000,Declined,January
214,Eve,Auto Insurance,50,1700,Pending,January
215,Frank,Home Insurance,65,1202,Pending,January
216,Frank,,61,3530,Approved,January
217,Diana,,67,3528,Pending,January
218,Charlie,Auto Insurance,73,3374,Approved,January
219,Alice,Auto Insurance,62,1352,Declined,January
220,Bob,,20,1154,Pending,January
221,Diana,Life Insurance,57,708,Declined,January
222,Frank,Health Insurance,18,1828,,January
223,Diana,Home Insurance,57,2049,Pending,January
224,Diana,,33,,Declined,January
225,Eve,,59,,,January
226,Alice,,51,2000,Approved,January
227,Alice,Auto Insurance,38,592,Pending,January
228,Charlie,,25,2783,Approved,January
229,Charlie,,66,1964,Declined,January
230,Alice,Auto Insurance,73,853,,January
231,Diana,Home Insurance,64,2000,Pending,January
232,Diana,,46,,Pending,January
233,Diana,,67,,Pending,January
234,Frank,Home Insurance,26,1427,,January
235,Diana,Health Insurance,27,2000,Pending,January
236,Charlie,Life Insurance,74,3512,Pending,January
237,Charlie,Home Insurance,73,2044,Declined,January
238,Diana,Life Insurance,60,1924,Declined,January
239,Alice,Auto Insurance,49,1952,Pending,January
240,Alice,Home Insurance,75,3450,Pending,January
241,Alice,Health Insurance,56,2000,Approved,January
242,Eve,Auto Insurance,59,2431,Declined,January
243,Alice,Home Insurance,75,2000,Approved,January
244,Eve,Auto Insurance,28,1362,Declined,January
245,Diana,,26,,Pending,January
246,Frank,,34,1147,Declined,January
247,Charlie,Life Insurance,34,941,Declined,January
248,Eve,Health Insurance,25,543,,January
249,Alice,,71,541,Approved,January
250,Bob,Auto Insurance,48,,Approved,January
251,Diana,Home Insurance,45,2798,Approved,January
252,Diana,,30,804,Approved,January
253,Eve,,48,,Declined,January
254,Eve,,34,3304,Approved,January
255,Charlie,Auto Insurance,54,,Approved,January
256,Charlie,Auto Insurance,43,1489,Approved,January
257,Diana,Home Insurance,63,1828,Declined,January
258,Diana,,67,2000,Approved,January
259,Bob,Home Insurance,26,2000,Approved,January
260,Frank,,33,3942,Pending,January
261,Diana,Life Insurance,54,3117,,January
262,Frank,Health Insurance,59,,Approved,January
263,Diana,Life Insurance,56,,Approved,January
264,Eve,Health Insurance,28,2000,Declined,January
265,Alice,Life Insurance,18,2000,Pending,January
266,Frank,Auto Insurance,32,,Approved,January
267,Bob,Home Insurance,18,,Declined,January
268,Diana,,53,,,January
269,Alice,,47,4562,Approved,January
270,Charlie,,56,1087,Declined,January
271,Charlie,Health Insurance,34,2000,Approved,January
272,Charlie,,22,2000,Approved,January
273,Bob,,74,1234,,January
274,Eve,,31,,,January
275,Frank,Health Insurance,20,1373,Declined,January
276,Eve,Health Insurance,55,906,Declined,January
277,Alice,Auto Insurance,30,875,Declined,January
278,Frank,Auto Insurance,69,,Approved,January
279,Diana,Health Insurance,20,2000,Pending,January
280,Frank,Home Insurance,61,,Pending,January
281,Bob,Life Insurance,26,3617,Declined,January
282,Charlie,Life Insurance,45,,Pending,January
283,Eve,Home Insurance,31,4396,Declined,January
284,Frank,Auto Insurance,46,2242,Approved,January
285,Diana,Health Insurance,56,,Approved,January
286,Frank,,36,1167,,January
287,Charlie,,60,,Pending,January
288,Charlie,Home Insurance,59,2000,Pending,January
289,Diana,,19,,Approved,January
290,Alice,Auto Insurance,55,,Approved,January
291,Bob,,29,893,Pending,January
292,Frank,,72,1902,Declined,January
293,Bob,,61,,,January
294,Eve,Home Insurance,62,,,January
295,Bob,Life Insurance,66,1725,Pending,January
296,Diana,,21,,Pending,January
297,Alice,Auto Insurance,64,506,Approved,January
298,Eve,,37,2000,Approved,January
299,Charlie,Auto Insurance,44,2000,Declined,January
300,Charlie,Life Insurance,35,1683,Pending,January
1,Charlie,Life Insurance,18,1454,Pending,February
2,Diana,Home Insurance,48,1668,Pending,February
3,Charlie,Health Insurance,70,,Declined,February
4,Charlie,Life Insurance,38,2000,Pending,February
5,Bob,Life Insurance,37,2000,Pending,February
6,Bob,,38,2960,Approved,February
7,Charlie,,64,3371,Declined,February
8,Frank,Health Insurance,58,2000,Declined,February
9,Charlie,Health Insurance,45,,Declined,February
10,Frank,,59,,,February
11,Frank,Home Insurance,49,2000,Approved,February
12,Charlie,Health Insurance,32,2000,Approved,February
13,Diana,,59,2000,Pending,February
14,Diana,Health Insurance,44,1079,Pending,February
15,Alice,,53,2000,Approved,February
16,Bob,Health Insurance,65,1489,Declined,February
17,Charlie,,29,,Approved,February
18,Eve,Life Insurance,67,2000,Approved,February
19,Bob,Health Insurance,73,1991,Approved,February
20,Charlie,Auto Insurance,73,1497,Pending,February
21,Diana,,36,3839,Declined,February
22,Charlie,,60,2000,,February
23,Eve,,27,,Approved,February
24,Frank,Auto Insurance,68,3046,,February
25,Alice,Life Insurance,64,1416,Approved,February
26,Eve,Auto Insurance,48,,Declined,February
27,Eve,Health Insurance,29,2369,,February
28,Frank,Auto Insurance,55,2000,Declined,February
29,Eve,Life Insurance,49,,Approved,February
30,Charlie,,35,1316,Declined,February
31,Diana,Auto Insurance,72,2000,Pending,February
32,Bob,Auto Insurance,32,1285,Declined,February
33,Bob,Home Insurance,31,1446,Approved,February
34,Bob,Home Insurance,52,,,February
35,Frank,Life Insurance,69,4060,Declined,February
36,Frank,,35,2008,Pending,February
37,Frank,,71,1919,Declined,February
38,Eve,,23,,Approved,February
39,Frank,Auto Insurance,19,1679,Declined,February
40,Eve,,66,,Pending,February
41,Bob,,61,1843,Pending,February
42,Charlie,,66,2000,Pending,February
43,Bob,Health Insurance,40,1495,Pending,February
44,Alice,,51,1707,Pending,February
45,Charlie,,41,,Declined,February
46,Charlie,Health Insurance,34,,Pending,February
47,Diana,Home Insurance,55,1238,Approved,February
48,Charlie,Life Insurance,56,4281,Approved,February
49,Alice,Auto Insurance,36,,,February
50,Diana,Life Insurance,65,2753,Approved,February
51,Alice,Home Insurance,37,940,Declined,February
52,Alice,,72,1476,Declined,February
53,Alice,Health Insurance,70,,Declined,February
54,Diana,Life Insurance,62,,Approved,February
55,Alice,Health Insurance,67,904,Approved,February
56,Eve,Health Insurance,25,1076,Pending,February
57,Diana,Life Insurance,25,539,Declined,February
58,Diana,,32,2393,Pending,February
59,Bob,Auto Insurance,52,1830,,February
60,Charlie,,35,,Pending,February
61,Bob,,74,2000,Pending,February
62,Frank,Auto Insurance,23,2000,Declined,February
63,Frank,,74,,Pending,February
64,Frank,,55,,Approved,February
65,Bob,Health Insurance,38,635,Approved,February
66,Diana,Health Insurance,29,2754,Approved,February
67,Diana,Health Insurance,53,2809,Declined,February
68,Bob,Health Insurance,21,,,February
69,Bob,Life Insurance,54,1662,Pending,February
70,Eve,Health Insurance,47,1395,Approved,February
71,Frank,Home Insurance,67,2000,Declined,February
72,Bob,Home Insurance,66,4139,,February
73,Alice,Auto Insurance,20,,Approved,February
74,Bob,Life Insurance,51,1198,Declined,February
75,Frank,,54,1271,Pending,February
76,Charlie,,55,3659,Pending,February
77,Charlie,Health Insurance,75,1006,Approved,February
78,Diana,Home Insurance,38,2000,Declined,February
79,Diana,Home Insurance,18,544,Pending,February
80,Charlie,Auto Insurance,73,3104,Approved,February
81,Frank,Auto Insurance,40,,Pending,February
82,Alice,Home Insurance,71,,Pending,February
83,Charlie,Home Insurance,64,857,,February
84,Alice,Auto Insurance,55,,Pending,February
85,Frank,Life Insurance,22,2000,Approved,February
86,Charlie,Health Insurance,45,,Approved,February
87,Eve,Health Insurance,59,913,Declined,February
88,Bob,Life Insurance,32,2000,Declined,February
89,Alice,Life Insurance,37,1335,Declined,February
90,Bob,Auto Insurance,18,4643,Approved,February
91,Diana,Auto Insurance,38,1308,Approved,February
92,Eve,Home Insurance,73,,Declined,February
93,Frank,Home Insurance,29,3421,Pending,February
94,Charlie,Health Insurance,75,,Approved,February
95,Alice,,31,2000,Approved,February
96,Diana,Life Insurance,24,4024,Pending,February
97,Diana,,33,2000,Approved,February
98,Diana,Home Insurance,55,1318,Declined,February
99,Charlie,Auto Insurance,44,4561,Approved,February
100,Diana,,38,1142,Approved,February
101,Alice,,19,2000,Approved,February
102,Alice,,51,,Pending,February
103,Frank,Health Insurance,73,1675,Declined,February
104,Charlie,Home Insurance,20,,Pending,February
105,Charlie,Life Insurance,54,,Declined,February
106,Alice,Home Insurance,46,2000,Pending,February
107,Bob,Auto Insurance,75,2000,Declined,February
108,Bob,,74,1252,Pending,February
109,Eve,Health Insurance,38,,Pending,February
110,Frank,Auto Insurance,64,,Declined,February
111,Alice,Life Insurance,55,2000,Approved,February
112,Charlie,,38,1106,Declined,February
113,Frank,,50,,,February
114,Bob,Health Insurance,18,1950,Pending,February
115,Diana,,68,2000,Declined,February
116,Frank,,39,1337,Declined,February
117,Frank,Health Insurance,31,2000,,February
118,Diana,Auto Insurance,26,,Declined,February
119,Frank,Auto Insurance,30,,Declined,February
120,Bob,Auto Insurance,56,3355,,February
121,Bob,Life Insurance,46,1902,Declined,February
122,Bob,Home Insurance,29,4133,Pending,February
123,Frank,,62,1365,Approved,February
124,Alice,Home Insurance,29,,Approved,February
125,Eve,,29,2000,Pending,February
126,Bob,Life Insurance,70,1495,Pending,February
127,Diana,Life Insurance,68,,Approved,February
128,Bob,Life Insurance,47,1555,Declined,February
129,Alice,Home Insurance,66,,Pending,February
130,Diana,Health Insurance,52,3856,Approved,February
131,Eve,Life Insurance,18,1925,Declined,February
132,Diana,Home Insurance,42,2000,Pending,February
133,Alice,Auto Insurance,73,1827,Approved,February
134,Alice,Home Insurance,63,2000,,February
135,Eve,Auto Insurance,55,2630,Pending,February
136,Eve,Auto Insurance,58,4128,Declined,February
137,Alice,Life Insurance,30,2000,,February
138,Bob,,60,579,Declined,February
139,Frank,Life Insurance,43,,,February
140,Charlie,,54,4165,Declined,February
141,Diana,Auto Insurance,40,2000,Approved,February
142,Bob,Auto Insurance,63,,Declined,February
143,Charlie,Health Insurance,66,1592,Pending,February
144,Diana,Home Insurance,63,616,Declined,February
145,Frank,Health Insurance,30,2000,Approved,February
146,Charlie,Life Insurance,49,1957,Declined,February
147,Bob,,35,2000,Pending,February
148,Frank,,35,2000,Declined,February
149,Frank,,45,2214,Pending,February
150,Eve,Home Insurance,37,2249,Approved,February
151,Frank,,63,,,February
152,Diana,Health Insurance,43,2000,Approved,February
153,Alice,Home Insurance,49,1629,Declined,February
154,Bob,,28,3229,Approved,February
155,Alice,Health Insurance,39,,Declined,February
156,Frank,,64,2000,Declined,February
157,Alice,Health Insurance,21,,Declined,February
158,Diana,Health Insurance,19,,Declined,February
159,Frank,,66,1398,Declined,February
160,Bob,Home Insurance,36,1095,,February
161,Eve,Life Insurance,52,1986,Declined,February
162,Frank,,49,,,February
163,Frank,,19,1063,Pending,February
164,Frank,Home Insurance,67,,,February
165,Frank,,72,1748,Pending,February
166,Alice,,23,1646,Declined,February
167,Alice,Auto Insurance,64,1933,Pending,February
168,Eve,,46,,Declined,February
169,Diana,Home Insurance,18,841,Pending,February
170,Bob,Health Insurance,46,3573,Approved,February
171,Bob,Home Insurance,63,1992,Pending,February
172,Frank,Home Insurance,53,2921,Pending,February
173,Diana,Home Insurance,22,,Declined,February
174,Frank,Auto Insurance,74,2000,,February
175,Eve,,36,1177,Pending,February
176,Charlie,Home Insurance,31,,Declined,February
177,Eve,Life Insurance,48,1200,Approved,February
178,Alice,Life Insurance,56,2000,Approved,February
179,Diana,,57,4890,Declined,February
180,Bob,Life Insurance,21,582,Declined,February
181,Charlie,,56,2000,Pending,February
182,Alice,Auto Insurance,42,2000,Approved,February
183,Charlie,Health Insurance,24,1763,Approved,February
184,Diana,Life Insurance,25,,Pending,February
185,Charlie,Health Insurance,18,,Approved,February
186,Diana,Home Insurance,63,2689,,February
187,Bob,Auto Insurance,19,1537,Pending,February
188,Charlie,Health Insurance,32,2000,Declined,February
189,Alice,Home Insurance,38,2067,Pending,February
190,Charlie,Health Insurance,46,,Approved,February
191,Bob,Health Insurance,71,,Declined,February
192,Frank,Health Insurance,71,1747,Declined,February
193,Bob,,63,2000,Pending,February
194,Diana,,50,,Declined,February
195,Eve,Auto Insurance,61,,Pending,February
196,Diana,Home Insurance,33,1960,Declined,February
197,Eve,Auto Insurance,62,1767,,February
198,Charlie,Life Insurance,58,4170,Approved,February
199,Alice,Auto Insurance,62,3375,Pending,February
200,Charlie,Auto Insurance,22,2000,,February
201,Bob,,33,,Approved,February
202,Frank,Health Insurance,44,3068,Declined,February
203,Diana,Life Insurance,44,,Declined,February
204,Alice,,66,1919,Pending,February
205,Alice,,39,,Approved,February
206,Frank,Life Insurance,68,,Approved,February
207,Bob,Life Insurance,58,1555,Pending,February
208,Diana,Home Insurance,66,2000,,February
209,Diana,Life Insurance,19,2000,Pending,February
210,Bob,Life Insurance,71,3948,Pending,February
211,Eve,Home Insurance,72,1568,Approved,February
212,Charlie,,66,2000,Approved,February
213,Bob,Life Insurance,63,,Approved,February
214,Alice,Auto Insurance,23,2686,Declined,February
215,Diana,,69,1694,Pending,February
216,Charlie,Life Insurance,34,2951,Declined,February
217,Alice,Home Insurance,67,2000,,February
218,Alice,Life Insurance,58,1489,Pending,February
219,Bob,,68,3498,Pending,February
220,Frank,Auto Insurance,49,,Approved,February
221,Frank,,46,,Declined,February
222,Diana,Health Insurance,72,3412,Declined,February
223,Bob,Health Insurance,26,1751,Pending,February
224,Charlie,,33,2000,,February
225,Eve,Auto Insurance,30,2000,Approved,February
226,Eve,Auto Insurance,57,1745,Pending,February
227,Diana,,57,1547,Pending,February
228,Alice,Life Insurance,29,1300,Approved,February
229,Bob,Health Insurance,42,1357,Pending,February
230,Diana,Home Insurance,34,1226,Declined,February
231,Frank,Life Insurance,54,2000,Declined,February
232,Diana,Life Insurance,23,,Declined,February
233,Frank,Home Insurance,19,3663,Approved,February
234,Diana,Auto Insurance,55,2000,Pending,February
235,Bob,Home Insurance,38,2000,Declined,February
236,Alice,Health Insurance,39,,Pending,February
237,Frank,Home Insurance,29,,Approved,February
238,Alice,Auto Insurance,20,,Declined,February
239,Charlie,Health Insurance,23,1988,Declined,February
240,Eve,Life Insurance,75,,Pending,February
241,Frank,,75,4248,Approved,February
242,Bob,Auto Insurance,42,2515,Pending,February
243,Eve,,50,2000,Pending,February
244,Diana,Life Insurance,73,2000,Pending,February
245,Frank,Life Insurance,37,3669,Pending,February
246,Eve,Auto Insurance,35,2206,Pending,February
247,Charlie,Auto Insurance,61,3369,Pending,February
248,Frank,Auto Insurance,62,2000,Approved,February
249,Bob,Health Insurance,25,4070,Approved,February
250,Charlie,Life Insurance,51,2000,Declined,February
251,Diana,,54,,,February
252,Alice,Home Insurance,26,3729,Declined,February
253,Diana,,29,719,Declined,February
254,Bob,,52,520,Approved,February
255,Eve,,75,2000,Approved,February
256,Alice,Life Insurance,55,2000,Declined,February
257,Bob,,29,4377,,February
258,Diana,,61,,Approved,February
259,Bob,Health Insurance,62,1730,Approved,February
260,Alice,Auto Insurance,19,1314,Approved,February
261,Bob,Life Insurance,58,1566,Approved,February
262,Alice,Home Insurance,23,2000,Approved,February
263,Frank,,72,,Declined,February
264,Bob,,32,2961,Pending,February
265,Diana,Auto Insurance,29,,Pending,February
266,Alice,,20,2000,Declined,February
267,Diana,Home Insurance,69,2000,Approved,February
268,Frank,,51,2063,Approved,February
269,Eve,Life Insurance,35,,,February
270,Diana,,47,1065,Declined,February
271,Alice,,70,2000,Declined,February
272,Bob,Life Insurance,37,2422,Approved,February
273,Eve,,22,1202,Pending,February
274,Alice,Life Insurance,44,1038,Declined,February
275,Bob,Home Insurance,41,2000,Declined,February
276,Frank,,72,1454,Approved,February
277,Frank,Auto Insurance,33,1815,Approved,February
278,Eve,Auto Insurance,26,1768,Declined,February
279,Frank,Home Insurance,20,,Declined,February
280,Charlie,Health Insurance,47,3248,,February
281,Charlie,Home Insurance,35,2000,Pending,February
282,Diana,Home Insurance,49,1481,Declined,February
283,Eve,Health Insurance,49,900,Declined,February
284,Eve,,41,1349,Approved,February
285,Diana,,74,2000,Declined,February
286,Alice,Health Insurance,57,2000,Pending,February
287,Eve,Auto Insurance,36,2000,Declined,February
288,Alice,Health Insurance,42,1798,Declined,February
289,Eve,Auto Insurance,36,1043,,February
290,Bob,Auto Insurance,71,,Pending,February
291,Charlie,,63,1890,Approved,February
292,Diana,Home Insurance,25,2000,Pending,February
293,Eve,Home Insurance,30,572,Pending,February
294,Diana,,51,1008,Approved,February
295,Diana,Home Insurance,35,1639,Pending,February
296,Charlie,Life Insurance,74,,Declined,February
297,Alice,Auto Insurance,24,,Pending,February
298,Charlie,Auto Insurance,33,1404,Approved,February
299,Eve,Home Insurance,45,4320,Pending,February
300,Bob,Health Insurance,25,,Approved,February
1,Alice,,56,3431,Declined,March
2,Charlie,Health Insurance,33,1863,Approved,March
3,Diana,Auto Insurance,56,2000,,March
4,Frank,,20,2000,Declined,March
5,Alice,Auto Insurance,21,2000,Declined,March
6,Charlie,Auto Insurance,66,4899,Approved,March
7,Frank,Life Insurance,27,3130,Pending,March
8,Diana,Auto Insurance,61,,Pending,March
9,Charlie,,33,871,Declined,March
10,Bob,Health Insurance,47,1897,Pending,March
11,Bob,Health Insurance,48,,Declined,March
12,Alice,Life Insurance,24,,Pending,March
13,Charlie,Life Insurance,35,2702,Pending,March
14,Eve,Life Insurance,53,1388,Declined,March
15,Bob,Life Insurance,47,3337,,March
16,Frank,Home Insurance,72,,Approved,March
17,Eve,,62,3189,Pending,March
18,Charlie,Auto Insurance,28,,Declined,March
19,Bob,Auto Insurance,46,1796,Pending,March
20,Frank,Auto Insurance,45,,Approved,March
21,Alice,,66,2000,Pending,March
22,Alice,Home Insurance,52,1420,Approved,March
23,Charlie,Health Insurance,61,2000,Pending,March
24,Frank,Auto Insurance,60,2000,Pending,March
25,Frank,Home Insurance,36,1453,,March
26,Diana,,33,1329,Approved,March
27,Diana,,61,4391,Pending,March
28,Bob,Auto Insurance,74,2000,Approved,March
29,Eve,Auto Insurance,70,,Pending,March
30,Charlie,Life Insurance,37,2947,Pending,March
31,Frank,,55,2000,Pending,March
32,Frank,Home Insurance,42,,,March
33,Diana,Health Insurance,47,3833,Pending,March
34,Diana,Life Insurance,71,2000,Pending,March
35,Eve,Health Insurance,58,,Approved,March
36,Eve,Health Insurance,73,1364,Approved,March
37,Charlie,Auto Insurance,62,,Pending,March
38,Charlie,Auto Insurance,41,1089,Pending,March
39,Diana,Health Insurance,70,2000,,March
40,Bob,Home Insurance,55,2000,Approved,March
